SITE,DATE,TMAX
USC00311677,20181022,139
USC00311677,20181023,167
USC00311677,20181024,194
USC00311677,20181026,128
USC00311677,20181027,94
USC00311677,20181028,133
USC00311677,20181029,178
USC00311677,20181030,183
USC00311677,20181101,228
USC00311677,20181102,233
USC00311677,20181103,217
USC00311677,20181104,161
USC00311677,20181106,172
USC00311677,20181107,228
USC00311677,20181108,222
USC00311677,20181109,183
USC00311677,20181111,100
USC00311677,20181112,100
USC00311677,20181113,83
USC00311677,20181114,106
USC00311677,20181116,72
USC00311677,20181119,144
USC00311677,20181121,172
USC00311677,20181122,133
USC00311677,20181123,100
USC00311677,20181124,56
USC00311677,20181125,56
USC00311677,20181126,150
USC00311677,20181127,161
USC00311677,20181129,50
USC00311677,20181130,111
USC00311677,20181201,200
USC00311677,20181202,161
USC00311677,20181204,189
USC00311677,20181205,106
USC00311677,20181206,83
USC00311677,20181207,78
USC00311677,20181208,94
USC00311677,20181209,56
USC00311677,20181210,6
USC00311677,20181211,17
USC00311677,20181212,67
USC00311677,20181213,89
USC00311677,20181215,111
USC00311677,20181216,89
USC00311677,20181217,156
USC00311677,20181219,161
USC00311677,20181220,111
USC00311677,20181221,178
USC00311677,20181222,167
USC00311677,20181223,117
USC00311677,20181225,100
USC00311677,20181227,106
USC00311677,20181228,156
USC00311677,20181229,194
USC00311677,20181230,183
USC00311677,20181231,156
